atom_1,atom_2,atom_3,atom_4,atom_indices,element_1,element_2,element_3,element_4,elements,parameter_type,parameter_id,parameter_smirks,value,energy,qcarchive_id,grid_id,mapped_smiles,forcefield
0,1,-1,-1,"(0, 1)",C,C,,,"('C', 'C')",Bonds,b5,[#6X3:1]:[#6X3:2],1.409640821547107,0.03469872456636912,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
0,2,-1,-1,"(0, 2)",C,C,,,"('C', 'C')",Bonds,b5,[#6X3:1]:[#6X3:2],1.4097995463409476,0.03585817114655005,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
0,10,-1,-1,"(0, 10)",C,H,,,"('C', 'H')",Bonds,b85,[#6X3:1]-[#1:2],1.088104667854388,0.0013777536771827283,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
1,3,-1,-1,"(1, 3)",C,C,,,"('C', 'C')",Bonds,b5,[#6X3:1]:[#6X3:2],1.410513308248861,0.0413075270750715,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
1,11,-1,-1,"(1, 11)",C,H,,,"('C', 'H')",Bonds,b85,[#6X3:1]-[#1:2],1.0878942587300389,0.0010877592054558398,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
2,4,-1,-1,"(2, 4)",C,C,,,"('C', 'C')",Bonds,b5,[#6X3:1]:[#6X3:2],1.4108477812477178,0.04399371120382514,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
2,12,-1,-1,"(2, 12)",C,H,,,"('C', 'H')",Bonds,b85,[#6X3:1]-[#1:2],1.0877843376352494,0.0009498728232037362,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
3,5,-1,-1,"(3, 5)",C,C,,,"('C', 'C')",Bonds,b5,[#6X3:1]:[#6X3:2],1.4143086946322663,0.07675591101981996,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
3,13,-1,-1,"(3, 13)",C,H,,,"('C', 'H')",Bonds,b85,[#6X3:1]-[#1:2],1.0872253737846502,0.0003932316778426205,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
4,5,-1,-1,"(4, 5)",C,C,,,"('C', 'C')",Bonds,b5,[#6X3:1]:[#6X3:2],1.4131747427803283,0.06502370381609164,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
4,14,-1,-1,"(4, 14)",C,H,,,"('C', 'H')",Bonds,b85,[#6X3:1]-[#1:2],1.0866276216287394,6.524610378128897e-05,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
5,7,-1,-1,"(5, 7)",C,C,,,"('C', 'C')",Bonds,b2,[#6X4:1]-[#6X3:2],1.5153044773149715,0.008158117708486418,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
